Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature ©,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,3,3,175,170,2.4,15.80,,0.29,18.49243902,,,15.6,15.6,11960,12240,,,,,,,5.505882353,0.00127451,,6.111111111,5.854166667,18.25073171,15.4,4320,4100.571429,110,180,,,,,23,77,,77,,
Godavari,SRM,NL,3,4,170,175,2.4,14.44,,0.31,17.14658537,,,14.5,14.5,12240,12000,,,,,,,4.971428571,0.001208333,,5.854166667,5.597222222,18.49243902,15.6,4114.285714,4320,110,200,,,,,23,77,,77,,
Godavari,SRM,NL,3,5,175,160,2.4,13.35,,0.305,16.05012195,,,13.6,13.6,12000,12240,,,,,,,5.1,0.001111111,,5.597222222,5.340277778,17.14658537,14.5,4590,4114.285714,130,175,,,,,23,77,,77,,
Godavari,SRM,NL,3,6,160,150,2.4,12.66,,0.27,15.32609756,,,13,13,12240,11120,,,,,,,5.2,0.001169065,,5.340277778,5.083333333,16.05012195,13.6,4448,4590,100,170,,,,,23,77,,77,,
Godavari,SRM,NL,3,7,150,165,2.4,14.60,,0.275,17.27621951,,,14.6,14.6,11120,12100,,,,,,,5.309090909,0.001206612,,5.083333333,4.826388889,15.32609756,13,4400,4448,100,175,,,,,23,77,,77,,
Godavari,SRM,NL,3,8,165,135,2.5,10.10,,0.265,12.86865854,,,11,11,12100,10800,,,,,,,4.888888889,0.001018519,,4.826388889,4.569444444,17.27621951,14.6,4800,4400,85,180,,,,,23,77,,77,,
Godavari,SRM,NL,3,9,135,110,1.5,-2.07,,0.23,-0.343170732,,,,0,10800,,,,,,,,0,#DIV/0!,,4.569444444,4.3125,12.86865854,11,0,4800,50,180,,,,,23,77,,77,,
Godavari,SRM,NL,3,10,110,130,2.5,10.13,,0.245,12.87304878,,,11,11,,10760,,,,,,,5.076923077,0.001022305,,4.3125,4.055555556,-0.343170732,,4966.153846,0,70,175,,,,,23,77,,77,,
Godavari,SRM,NL,3,11,130,140,2.5,8.87,,0.28,11.64585366,,,10,10,10760,9800,,,,,,,4.285714286,0.001020408,,4.055555556,3.798611111,12.87304878,11,4200,4966.153846,100,180,,,,,23,77,,77,,
Godavari,SRM,NL,3,12,140,160,2.5,11.30,,0.285,14.08378049,,,12,12,9800,11680,,,,,,,4.5,0.001027397,,3.798611111,3.541666667,11.64585366,10,4380,4200,100,185,,,,,23,77,,77,,
Godavari,SRM,NL,3,13,160,195,2.5,15.27,,0.33,18.09829268,,,15.3,15.3,11680,14840,,,,,,,4.707692308,0.001030997,,3.541666667,3.284722222,14.08378049,12,4566.153846,4380,130,200,,,,,23,77,,77,,
Godavari,SRM,NL,3,14,195,175,2.5,14.29,,0.33,17.12268293,,,14.5,14.5,14840,13200,,,,,,,4.971428571,0.001098485,,3.284722222,3.027777778,18.09829268,15.3,4525.714286,4566.153846,130,200,,,,,23,77,,77,,
Godavari,SRM,NL,3,15,175,185,2.5,15.60,,0.355,18.45865854,,,15.6,15.6,13200,14160,,,,,,,5.059459459,0.001101695,,3.027777778,2.770833333,17.12268293,14.5,4592.432432,4525.714286,140,215,,,,,23,77,,77,,
