Customer Name,Refractory,Lining type,campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature,Output (MT),Output + Next Hot Heel (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous,Carbon addition (Kg),SiMn addition (Kg),Pig iron addition (MT) ,Scrap (KG),Output (KG),Pig iron (KG),Lumps(%),Pellets(%),Fines(%),Pellets(kg),Lumps(Kg),Fines (Kg)
Godavari,SRM,NL,13,13,170,180,1.6,17.36,,0.3,19.26,,,16.1,16.1,11920,13280,,,,,,,5.37,0.001212349,,2.93,2.62,18.41,15.4,4426.67,4207.06,100,200,,,,,17,77,6,77,,
Godavari,SRM,NL,13,14,180,180,1.6,14.8,,0.3,16.7,,,14,14,13280,12320,,,,,,,4.67,0.001136364,,2.62,2.31,19.26,16.1,4106.67,4426.67,100,200,,,,,17,77,6,77,,
Godavari,SRM,NL,13,15,180,180,2.4,16.64,,0.3,19.34,,,16.3,16.3,12320,14160,,,,,,,5.43,0.00115113,,2.31,2,16.7,14,4720,4106.67,100,200,,,,,17,77,6,77,,
Godavari,SRM,NL,14,1,0,220,2.4,15.8,,0.29,18.49,,,15.6,15.6,0,13800,0,0,,,,,4.25,0.001130435,,6.63,6.29,0,0,3763.64,0,100,190,,,,,17,77,6,77,,
Godavari,SRM,NL,14,2,220,190,1.6,16.27,,0.29,18.16,,,15.2,15.2,13800,12680,,,,,,,4.8,0.001198738,,6.29,5.96,18.49,15.6,4004.21,3763.64,90,200,,,,,17,77,6,77,,
Godavari,SRM,NL,14,3,190,180,1.6,16.26,,0.3,18.16,,,15.2,15.2,12680,11360,,,,,,,5.07,0.001338028,,5.96,5.63,18.16,15.2,3786.67,4004.21,100,200,,,,,17,77,6,77,,
Godavari,SRM,NL,14,4,180,170,1.6,16.4,,0.28,18.28,,,15.3,15.3,11360,12800,,,,,,,5.4,0.001195313,,5.63,5.3,18.16,15.2,4517.65,3786.67,100,180,,,,,19.4,71.3,9.3,71.3,,
Godavari,SRM,NL,14,5,170,180,1.6,16.53,,0.28,18.41,,,15.4,15.4,12800,11240,,,,,,,5.13,0.001370107,,5.3,4.97,18.28,15.3,3746.67,4517.65,100,180,,,,,19.4,71.3,9.3,71.3,,
Godavari,SRM,NL,14,6,180,195,1.6,16.28,,0.28,18.16,,,15.2,15.2,11240,11200,,,,,,,4.68,0.001357143,,4.97,4.64,18.41,15.4,3446.15,3746.67,100,180,,,,,19.4,71.3,9.3,71.3,,
Godavari,SRM,NL,14,7,195,205,1.6,17,,0.29,18.89,,,15.8,15.8,11200,13400,,,,,,,4.62,0.001179104,,4.64,4.31,18.16,15.2,3921.95,3446.15,100,190,,,,,19.4,71.3,9.3,71.3,,
