campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature (C),Output (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous
9,21,110,115,3,28.33536585,0,0.483,31.81836585,0.217,1683,26.658,15401.94858,16682.04324,3742,260,3742,3747,262,3747,13.90852174,0.001598006,0,5.850529206,5.805555667,28.50963415,23.938,8703.674734,8401.062862
9,22,115,135,3,34.21341463,0,0.56,37.77341463,0.208,1680,31.555,16682.04324,19618.05905,3747,262,3747,3747,263,3747,14.02444444,0.001608467,0,5.805555667,5.760582127,31.81836585,26.658,8719.137356,8703.674734
9,23,135,175,4,30.42439024,0,0.51,34.93439024,0.226,1671,29.378,19618.05905,19326.90486,3747,263,3747,3742,264,3742,10.07245714,0.001520057,0,5.760582127,5.715608587,37.77341463,31.555,6626.367381,8719.137356
9,24,175,125,3,29.61707317,0,0.52,33.13707317,0.225,1691,27.746,19326.90486,17779.91426,3742,264,3742,3744,264,3744,13.31808,0.001560525,0,5.715608587,5.670635048,34.93439024,29.378,8534.358845,6626.367381
9,25,125,135,3,30.24268293,0,0.551,33.79368293,0.238,1678,28.29,17779.91426,18776.073,3744,264,3744,3738,265,3738,12.57333333,0.001506705,0,5.670635048,5.625661508,33.13707317,27.746,8344.921333,8534.358845
9,26,135,115,4,28.43414634,0,0.51,32.94414634,0.231,1658,27.746,18776.073,16731.11546,3738,265,3738,3744,263,3744,14.47617391,0.001658347,0,5.625661508,5.580687968,33.79368293,28.29,8729.277631,8344.921333
9,27,115,120,5,27.84146341,0,0.56,33.40146341,0.216,1678,28.29,16731.11546,17389.863,3744,263,3744,3709,265,3709,14.145,0.00162681,0,5.580687968,5.535714429,32.94414634,27.746,8694.9315,8729.277631
9,28,120,105,4,26.60243902,0,0.38,30.98243902,0.181,1681,26.114,17389.863,16506.92054,3709,265,3709,3636,265,3636,14.92228571,0.001582003,0,5.535714429,5.490740889,33.40146341,28.29,9432.526023,8694.9315
9,29,105,135,4,29.09756098,0,0.51,33.60756098,0.226,1685,28.29,16506.92054,18168.1209,3636,265,3636,3693,266,3693,12.57333333,0.001557123,0,5.490740889,5.445767349,30.98243902,26.114,8074.7204,9432.526023
9,30,135,120,4,29.78658537,0,0.485,34.27158537,0.224,1680,28.83,18168.1209,17165.6703,3693,266,3693,3634,267,3634,14.415,0.001679515,0,5.445767349,5.40079381,33.60756098,28.29,8582.83515,8074.7204
9,31,120,130,4,26.63414634,0,0.35,30.98414634,0.254,1677,26.11,17165.6703,16279.585,3634,267,3634,3679,264,3679,12.05076923,0.001603849,0,5.40079381,5.35582027,34.27158537,28.83,7513.654615,8582.83515
9,32,130,130,2,27.37073171,0,0.626,29.99673171,0.197,1695,25.03,16279.585,17413.8716,3679,264,3679,3621,268,3621,11.55230769,0.00143736,0,5.35582027,5.31084673,30.98414634,26.11,8037.171508,7513.654615
9,33,130,165,2,31.40853659,0,0.575,33.98353659,0.239,1685,28.29,17413.8716,18387.0855,3621,268,3621,3606,274,3606,10.28727273,0.00153858,1,5.31084673,5.26587319,29.99673171,25.03,6686.212909,8037.171508
9,34,165,135,0,33.56463415,0,0.557,34.12163415,0.234,1673,28.08,18387.0855,18661.968,3606,274,3606,3532,271,3532,12.48,0.001504664,0,5.26587319,5.220899651,33.98353659,28.29,8294.208,6686.212909
9,35,135,115,0,30.73780488,0,0.625,31.36280488,0.259,1679,25.83,18661.968,16065.2268,3532,271,3532,3541,268,3541,13.47652174,0.00160782,0,5.220899651,5.175926111,34.12163415,28.08,8381.857461,8294.208
9,36,115,105,0,29.41463415,0,0.59,30.00463415,0.233,1657,24.71,16065.2268,15427.9356,3541,268,3541,3664,265,3664,14.12,0.00160164,0,5.175926111,5.130952571,31.36280488,25.83,8815.9632,8381.857461
9,37,105,110,0,29.43292683,0,0.575,30.00792683,0.232,1661,24.71,15427.9356,15620.9207,3664,265,3664,3581,269,3581,13.47818182,0.001581853,0,5.130952571,5.085979032,30.00463415,24.71,8520.5022,8815.9632
9,38,110,135,0,33.42073171,0,0.675,34.09573171,0.203,1660,28.08,15620.9207,18337.9248,3581,269,3581,3357,275,3357,12.48,0.001531253,0,5.085979032,5.041005492,30.00792683,24.71,8150.1888,8520.5022
9,39,135,120,0,34.85365854,0,0.62,35.47365854,0.253,1680,29.2,18337.9248,17821.052,3357,275,3357,3348,276,3348,14.6,0.001638512,0,5.041005492,4.996031952,34.09573171,28.08,8910.526,8150.1888
9,40,120,115,0,30.80121951,0,0.573,31.37421951,0.22,1673,25.83,17821.052,16211.1663,3348,276,3348,3446,278,3446,13.47652174,0.001593346,1,4.996031952,4.951058413,35.47365854,29.2,8457.999809,8910.526
9,41,115,135,0,34.82317073,0,0.645,35.46817073,0.244,1682,29.2,16211.1663,18869.916,3446,278,3446,3347,282,3347,12.97777778,0.001547437,1,4.951058413,4.906084873,31.37421951,25.83,8386.629333,8457.999809
9,42,135,110,0,31.37195122,0,0.385,31.75695122,0.209,1661,26.11,18869.916,16561.573,3347,282,3347,3382,279,3382,14.24181818,0.001576541,1,4.906084873,4.861111333,35.46817073,29.2,9033.585273,8386.629333
9,43,110,185,0,33.69878049,0,0.657,34.35578049,0.231,1690,28.29,16561.573,18795.0273,3382,279,3382,3390,290,3390,9.175135135,0.001505185,2,4.861111333,4.816137794,31.75695122,26.11,6095.68453,9033.585273
9,44,185,155,0,39.7097561,0,0.628,40.3377561,0.287,1677,33.19,18795.0273,19929.9312,3390,290,3390,3376,291,3376,12.84774194,0.001665334,2,4.816137794,4.771164254,34.35578049,28.29,7714.812077,6095.68453
9,45,155,145,0,37.44512195,0,0.745,38.19012195,0.233,1695,31.45,19929.9312,19651.5325,3376,291,3376,3322,293,3322,13.0137931,0.001600384,2,4.771164254,4.726190714,40.3377561,33.19,8131.668621,7714.812077
9,46,145,140,0,34.62195122,0,0.81,35.43195122,0.243,1677,29.2,19651.5325,18725.96,3322,293,3322,3440,302,3440,12.51428571,0.001559333,3,4.726190714,4.681217175,38.19012195,31.45,8025.411429,8131.668621
9,47,140,105,0,32.0902439,0,0.646,32.7362439,0.243,1687,26.96,18725.96,16209.4304,3440,302,3440,3430,290,3430,15.40571429,0.001663229,2,4.681217175,4.636243635,35.43195122,29.2,9262.531657,8025.411429
