campaign,Heat number (life number),Total Heat Time previous (minutes),Total Heat Time (minutes),Scrap (MT),Sponge (MT),Hot Heel (MT),Alloys (MT),Input (MT),Final C%,Tapping Temperature (C),Output (MT),Input energy previous (KWH),Input energy (KWH),Previous Voltage,Previous Frequency,Previous Rating of the Furnace,Voltage,Frequency,Rating of the furnace (KW),Melt rate (MT/Hr),Efficiency (MT/KWH),Number of capacitors removed,Refractory lining before heating,Refractory lining after heating,Previous Input,Previous Output,Power,Power previous
1,26,120,120,12,20.94268293,0,0.445,33.38768293,0.207,1682,29.378,18337.82552,18251.81695,3351,292,3351,3497,301,3497,14.689,0.001609593,2,5.175926111,5.112963156,36.16170732,31.01,9125.908475,9168.91276
1,27,120,120,3,31.68170732,0,0.459,35.14070732,0.199,1640,29.378,18251.81695,18815.81579,3497,301,3497,3401,303,3401,14.689,0.001561346,2,5.112963156,5.0500002,33.38768293,29.378,9407.907895,9125.908475
1,28,120,135,3,29.12439024,0,0.38,32.50439024,0.2,1675,27.202,18815.81579,18835.83449,3401,303,3401,3364,303,3364,12.08977778,0.001444162,2,5.0500002,4.987037244,35.14070732,29.378,8371.481996,9407.907895
1,29,135,175,9,27.14268293,0,0.478,36.62068293,0.194,1659,31.555,18835.83449,17306.84463,3364,303,3364,3335,303,3335,10.81885714,0.001823267,2,4.987037244,4.924074289,32.50439024,27.202,5933.775302,8371.481996
1,30,175,135,13,25.11341463,0,0.398,38.51141463,0.208,1692,33.731,17306.84463,20197.81922,3335,303,3335,3437,314,3437,14.99155556,0.001670032,3,4.924074289,4.861111333,36.62068293,31.555,8976.808542,5933.775302
1,31,135,125,10,25.95731707,0,0.47,36.42731707,0.216,1683,31.555,20197.81922,19663.49825,3437,314,3437,3425,315,3425,15.1464,0.00160475,3,4.861111333,4.798148378,38.51141463,33.731,9438.47916,8976.808542
1,32,125,130,5,34.63536585,0,0.43,40.06536585,0.184,1679,33.731,19663.49825,20953.49481,3425,315,3425,3463,320,3463,15.56815385,0.001609803,4,4.798148378,4.735185422,36.42731707,31.555,9670.843758,9438.47916
1,33,130,120,12,22.31463415,0,0.408,34.72263415,0.194,1695,30.466,20953.49481,18913.50606,3463,320,3463,3368,316,3368,15.233,0.001610807,3,4.735185422,4.672222467,40.06536585,33.731,9456.75303,9670.843758
1,34,120,125,7,28.28780488,0,0.41,35.69780488,0.209,1683,30.466,18913.50606,19991.51501,3368,316,3368,3307,318,3307,14.62368,0.001523947,3,4.672222467,4.609259511,34.72263415,30.466,9595.927205,9456.75303
1,35,125,125,13,22.55609756,0,0.319,35.87509756,0.191,1682,31.555,19991.51501,19000.49615,3307,318,3307,3415,329,3415,15.1464,0.001660746,5,4.609259511,4.546296556,35.69780488,30.466,9120.238152,9595.927205
1,36,125,120,23,6.579268293,0,0.355,29.93426829,0.206,1688,28.29,19000.49615,17718.50793,3415,329,3415,3362,323,3362,14.145,0.001596636,4,4.546296556,4.4833336,35.87509756,31.555,8859.253965,9120.238152
1,37,120,120,12,21.08658537,0,0.327,33.41358537,0.207,1676,29.378,17718.50793,18028.48539,3362,323,3362,3545,340,3545,14.689,0.001629532,6,4.4833336,4.420370644,29.93426829,28.29,9014.242695,8859.253965
1,38,120,120,7,28.3695122,0,0.343,35.7125122,0.234,1677,30.466,18028.48539,18360.48723,3545,340,3545,3316,332,3316,15.233,0.001659324,5,4.420370644,4.357407689,33.41358537,29.378,9180.243615,9014.242695
1,39,120,125,11,23.68414634,0,0.265,34.94914634,0.22,1652,30.466,18360.48723,18177.50843,3316,332,3316,3336,331,3336,14.62368,0.001676027,5,4.357407689,4.294444733,35.7125122,30.466,8725.204046,9180.243615
1,40,125,115,3,29.81829268,0,0.355,33.17329268,0.215,1689,27.746,18177.50843,16568.49615,3336,331,3336,3305,316,3305,14.47617391,0.001674624,3,4.294444733,4.231481778,34.94914634,30.466,8644.432774,8725.204046
1,41,115,120,10,27.36341463,0,0.405,37.76841463,0.212,1680,32.643,16568.49615,18826.49118,3305,316,3305,3339,347,3339,16.3215,0.001733887,6,4.231481778,4.168518822,33.17329268,27.746,9413.24559,8644.432774
1,42,120,125,9,26.05609756,0,0.28,35.33609756,0.219,1689,30.466,18826.49118,18252.88132,3339,347,3339,3409,354,3409,14.62368,0.001669106,7,4.168518822,4.105555867,37.76841463,32.643,8761.383034,9413.24559
1,43,125,130,4,30.57804878,0,0.384,34.96204878,0.199,1690,29.378,18252.88132,19300.87595,3409,354,3409,3399,354,3399,13.55907692,0.001522107,7,4.105555867,4.042592911,35.33609756,30.466,8908.096592,8761.383034
1,44,130,135,5,32.05487805,0,0.37,37.42487805,0.219,1690,31.555,19300.87595,19312.89065,3399,354,3399,3326,346,3326,14.02444444,0.001633883,6,4.042592911,3.979629956,34.96204878,29.378,8583.506956,8908.096592
1,46,135,145,7,31.01585366,0,0.35,38.36585366,0.215,1661,32.643,19312.89065,21677.88987,3326,346,3326,3375,374,3375,13.50744828,0.00150582,8,3.979629956,3.916667,37.42487805,31.555,8970.161326,8583.506956
2,1,0,560,0,36.26463415,0,0.185,36.44963415,0.196,1682,29.922,0,29216.88807,0,0,0,3594,275,3594,3.205928571,0.001024134,0,6.75,6.666666676,0,0,3130.380865,8970.161326
2,2,560,135,7,26.97926829,0,0.395,34.37426829,0.254,1685,29.378,29216.88807,19156.89437,3594,275,3594,3656,275,3656,13.05688889,0.001533547,0,6.666666676,6.583333353,36.44963415,29.922,8514.175276,3130.380865
2,3,135,130,8,27.1902439,0,0.33,35.5202439,0.242,1660,30.466,19156.89437,19816.88389,3656,275,3656,3646,275,3646,14.06123077,0.001537376,0,6.583333353,6.500000029,34.37426829,29.378,9146.254103,8514.175276
2,4,130,170,6,29.55243902,0,0.353,35.90543902,0.209,1692,30.466,19816.88389,19460.00517,3646,275,3646,3648,275,3648,10.75270588,0.00156557,0,6.500000029,6.416666706,35.5202439,30.466,6868.237119,9146.254103
2,5,170,125,7,28.34756098,0,0.361,35.70856098,0.209,1686,30.466,19460.00517,19491.99447,3648,275,3648,3611,277,3611,14.62368,0.001563001,0,6.416666706,6.333333382,35.90543902,30.466,9356.157346,6868.237119
2,6,125,130,7,23.69512195,0,0.368,31.06312195,0.224,1683,26.658,19491.99447,17060.98671,3611,277,3611,3622,276,3622,12.30369231,0.001562512,0,6.333333382,6.250000059,35.70856098,30.466,7874.301558,9356.157346
2,7,130,145,7,24.35609756,0,0.37,31.72609756,0.211,1695,27.202,17060.98671,18380.01057,3622,276,3622,3594,277,3594,11.256,0.001479977,0,6.250000059,6.166666735,31.06312195,26.658,7605.521615,7874.301558
2,8,145,110,5,28.11585366,0,0.335,33.45085366,0.221,1668,28.29,18380.01057,17620.00215,3594,277,3594,3695,277,3695,15.43090909,0.001605562,0,6.166666735,6.083333412,31.72609756,27.202,9610.910264,7605.521615
2,9,110,110,7,22.40243902,0,0.34,29.74243902,0.216,1684,25.57,17620.00215,17710.01213,3695,277,3695,3613,282,3613,13.94727273,0.001443816,0,6.083333412,6.000000088,33.45085366,28.29,9660.006616,9610.910264
2,10,110,120,8,27.11707317,0,0.39,35.50707317,0.206,1686,30.466,17710.01213,18933.0043,3613,282,3613,3610,283,3610,15.233,0.001609148,0,6.000000088,5.916666765,29.74243902,25.57,9466.50215,9660.006616
2,11,120,115,14,18.65609756,0,0.36,33.01609756,0.2,1682,29.378,18933.0043,18358.98789,3610,283,3610,3540,279,3540,15.32765217,0.001600197,0,5.916666765,5.833333441,35.50707317,30.466,9578.602377,9466.50215
2,12,115,115,12,21.05853659,0,0.35,33.40853659,0.202,1675,29.378,18358.98789,17676.00815,3540,279,3540,3511,280,3511,15.32765217,0.001662027,0,5.833333441,5.750000118,33.01609756,29.378,9222.265122,9578.602377
2,13,115,135,13,19.82682927,0,0.38,33.20682927,0.199,1685,29.378,17676.00815,18833.00192,3511,280,3511,3477,280,3477,13.05688889,0.001559921,0,5.750000118,5.666666794,33.40853659,29.378,8370.223076,9222.265122
2,14,135,120,14,21.29878049,0,0.37,35.66878049,0.199,1685,31.555,18833.00192,18320.01257,3477,280,3477,3472,281,3472,15.7775,0.001722433,0,5.666666794,5.583333471,33.20682927,29.378,9160.006285,8370.223076
2,15,120,125,4,30.62560976,0,0.345,34.97060976,0.204,1689,29.378,18320.01257,18498.00459,3472,281,3472,3419,282,3419,14.10144,0.001588171,0,5.583333471,5.500000147,35.66878049,31.555,8879.042203,9160.006285
2,16,125,140,0,35.4,0,0.35,35.75,0.216,1689,29.378,18498.00459,18328.99296,3419,282,3419,3451,282,3451,12.59057143,0.001602816,0,5.500000147,5.416666824,34.97060976,29.378,7855.282697,8879.042203
2,17,140,120,0,35.44268293,0,0.315,35.75768293,0.231,1648,29.378,18328.99296,17257.98859,3451,282,3451,3555,296,3555,14.689,0.001702284,2,5.416666824,5.3333335,35.75,29.378,8628.994295,7855.282697
2,18,120,110,0,31.45,0,0.325,31.775,0.291,1673,26.114,17257.98859,17085.00616,3555,296,3555,3444,281,3444,14.244,0.001528475,0,5.3333335,5.250000176,35.75768293,29.378,9319.094269,8628.994295
2,19,110,110,2,29.55853659,0,0.46,32.01853659,0.215,1643,26.658,17085.00616,16794.99319,3444,281,3444,3476,286,3476,14.54072727,0.001587259,1,5.250000176,5.166666853,31.775,26.114,9160.905376,9319.094269
2,20,110,220,2,35.65731707,0,0.356,38.01331707,0.192,1671,31.555,16794.99319,18492.99708,3476,286,3476,3458,297,3458,8.605909091,0.001706322,2,5.166666853,5.083333529,32.01853659,26.658,5043.544658,9160.905376
2,21,220,120,0,32.75243902,0,0.345,33.09743902,0.239,1664,27.202,18492.99708,19060.00617,3458,297,3458,3543,294,3543,13.601,0.001427177,2,5.083333529,5.000000206,38.01331707,31.555,9530.003085,5043.544658
2,22,120,120,0,30.6402439,0,0.445,31.0852439,0.196,1687,25.57,19060.00617,17329.99079,3543,294,3543,3468,298,3468,12.785,0.001475477,2,5.000000206,4.916666882,33.09743902,27.202,8664.995395,9530.003085
2,23,120,115,0,34.1097561,0,0.32,34.4297561,0.213,1687,28.29,17329.99079,16976.00859,3468,298,3468,3398,300,3398,14.76,0.001666469,2,4.916666882,4.833333559,31.0852439,25.57,8857.04796,8664.995395
2,24,115,130,0,32.79878049,0,0.307,33.10578049,0.251,1687,27.202,16976.00859,17786.0005,3398,300,3398,3230,301,3230,12.55476923,0.001529405,2,4.833333559,4.750000235,34.4297561,28.29,8208.923308,8857.04796
2,25,130,115,0,32.71585366,0,0.375,33.09085366,0.272,1658,27.202,17786.0005,17118.00098,3230,301,3230,3346,301,3346,14.19234783,0.001589087,2,4.750000235,4.666666912,33.10578049,27.202,8931.130946,8208.923308
2,26,115,120,0,38.07926829,0,0.33,38.40926829,0.223,1682,31.555,17118.00098,19099.01086,3346,301,3346,3362,315,3362,15.7775,0.00165218,3,4.666666912,4.583333588,33.09085366,27.202,9549.50543,8931.130946
2,27,120,125,0,35.90487805,0,0.48,36.38487805,0.232,1668,29.922,19099.01086,18747.98816,3362,315,3362,3467,326,3467,14.36256,0.001596011,5,4.583333588,4.500000265,38.40926829,31.555,8999.034317,9549.50543
2,28,125,125,2,34.82560976,0,0.493,37.31860976,0.222,1683,31.01,18747.98816,19772.00701,3467,326,3467,3340,324,3340,14.8848,0.001568379,4,4.500000265,4.416666941,36.38487805,29.922,9490.563365,8999.034317
2,29,125,185,0,36.48902439,0,0.545,37.03402439,0.227,1684,30.466,19772.00701,19501.01241,3340,324,3340,3552,339,3552,9.880864865,0.001562278,6,4.416666941,4.333333618,37.31860976,31.01,6324.652674,9490.563365
2,30,185,120,0,36.5195122,0,0.52,37.0395122,0.242,1685,30.466,19501.01241,18936.99535,3552,339,3552,3583,340,3583,15.233,0.001608809,6,4.333333618,4.250000294,37.03402439,30.466,9468.497675,6324.652674
2,31,120,125,0,33.86585366,0,0.52,34.38585366,0.228,1691,28.29,18936.99535,18269.99319,3583,340,3583,3461,342,3461,13.5792,0.001548441,6,4.250000294,4.166666971,37.0395122,30.466,8769.596731,9468.497675
2,32,125,125,0,36.55609756,0,0.49,37.04609756,0.264,1663,30.466,18269.99319,18547.00008,3461,342,3461,3402,345,3402,14.62368,0.001642638,6,4.166666971,4.083333647,34.38585366,28.29,8902.560038,8769.596731
2,33,125,120,0,39.24146341,0,0.465,39.70646341,0.24,1664,32.643,18547.00008,18944.00598,3402,345,3402,3407,344,3407,16.3215,0.001723131,6,4.083333647,4.000000324,37.04609756,30.466,9472.00299,8902.560038
2,34,120,125,0,37.86341463,0,0.507,38.37041463,0.239,1671,31.555,18944.00598,19155.99919,3407,344,3407,3603,366,3603,15.1464,0.001647265,8,4.000000324,3.916667,39.70646341,32.643,9194.879611,9472.00299
3,1,0,125,0,34.17682927,0,0.265,34.44182927,0.252,1715,28.29,0,13682.7414,0,0,0,3766,268,3766,13.5792,0.002067568,0,6.75,6.687037044,0,0,6567.715872,9194.879611
3,2,125,105,0,32.6597561,0,0.421,33.0807561,0.264,1680,27.202,13682.7414,16563.84184,3766,268,3766,3765,269,3765,15.544,0.001642252,0,6.687037044,6.624074089,34.44182927,28.29,9465.05248,6567.715872
3,3,105,120,0,31.12073171,0,0.595,31.71573171,0.274,1683,26.114,16563.84184,17730.62258,3765,269,3765,3762,269,3762,13.057,0.001472819,0,6.624074089,6.561111133,33.0807561,27.202,8865.31129,9465.05248
3,4,120,110,0,33.28780488,0,0.45,33.73780488,0.202,1690,27.746,17730.62258,16874.83974,3762,269,3762,3766,268,3766,15.13418182,0.001644223,0,6.561111133,6.498148178,31.71573171,26.114,9204.45804,8865.31129
3,5,110,130,0,35.18658537,0,0.525,35.71158537,0.217,1692,29.378,16874.83974,18952.62914,3766,268,3766,3766,268,3766,13.55907692,0.001550075,0,6.498148178,6.435185222,33.73780488,27.746,8747.367295,9204.45804
3,6,130,110,0,28.66829268,0,0.43,29.09829268,0.257,1680,23.938,18952.62914,15510.6271,3766,268,3766,3766,267,3766,13.05709091,0.001543329,0,6.435185222,6.372222267,35.71158537,29.378,8460.342055,8747.367295
3,7,110,110,0,14.04146341,0,0.455,14.49646341,0.324,1678,11.969,15510.6271,17375.75637,3766,267,3766,3765,269,3765,6.528545455,0.000688833,0,6.372222267,6.309259311,29.09829268,23.938,9477.685293,8460.342055
3,8,110,125,0,36.61707317,0,0.44,37.05707317,0.266,1685,30.466,17375.75637,12268.6582,3765,269,3765,3765,269,3765,14.62368,0.002483238,0,6.309259311,6.246296356,14.49646341,11.969,5888.955936,9477.685293
3,9,125,120,0,35.15,0,0.555,35.705,0.278,1687,29.378,12268.6582,18414.71796,3765,269,3765,3766,270,3766,14.689,0.001595354,0,6.246296356,6.1833334,37.05707317,30.466,9207.35898,5888.955936
3,10,120,120,0,35.83780488,0,0.535,36.37280488,0.255,1692,29.922,18414.71796,18031.71533,3766,270,3766,3767,270,3767,14.961,0.00165941,0,6.1833334,6.120370444,35.705,29.378,9015.857665,9207.35898
3,11,120,130,0,33.69512195,0,0.37,34.06512195,0.251,1695,28,18031.71533,17555.57353,3767,270,3767,3765,271,3765,12.92307692,0.001594935,0,6.120370444,6.057407489,36.37280488,29.922,8102.572398,9015.857665
3,12,130,100,0,36.60487805,0,0.45,37.05487805,0.218,1690,30.466,17555.57353,8844.706324,3765,271,3765,3769,271,3769,18.2796,0.003444546,0,6.057407489,5.994444533,34.06512195,28,5306.823794,8102.572398
3,13,100,120,0,35.29634146,0,0.435,35.73134146,0.207,1685,29.378,8844.706324,17581.44037,3769,271,3769,3759,272,3759,14.689,0.001670967,0,5.994444533,5.931481578,37.05487805,30.466,8790.720185,5306.823794
3,14,120,145,0,32.6695122,0,0.413,33.0825122,0.292,1690,27.202,17581.44037,19614.43733,3759,272,3759,3767,272,3767,11.256,0.001386836,0,5.931481578,5.868518622,35.73134146,29.378,8116.318895,8790.720185
3,15,145,115,0,31.31585366,0,0.435,31.75085366,0.253,1696,26.114,19614.43733,16297.43403,3767,272,3767,3763,272,3763,13.62469565,0.001602338,0,5.868518622,5.805555667,33.0825122,27.202,8503.009059,8116.318895
3,16,115,115,0,28.56097561,0,0.518,29.07897561,0.258,1546,23.938,16297.43403,16635.42584,3763,272,3763,3765,272,3765,12.4893913,0.001438977,0,5.805555667,5.742592711,31.75085366,26.114,8679.352612,8503.009059
3,17,115,140,0,36.49512195,0,0.54,37.03512195,0.289,1685,30.466,16635.42584,19396.42263,3765,272,3765,3758,275,3758,13.05685714,0.001570702,0,5.742592711,5.679629756,29.07897561,23.938,8312.752556,8679.352612
3,18,140,125,0,28.57073171,0,0.51,29.08073171,0.276,1682,23.938,19396.42263,16431.42621,3758,275,3758,3756,273,3756,11.49024,0.001456842,0,5.679629756,5.6166668,37.03512195,30.466,7887.084581,8312.752556
3,19,125,130,0,35.22926829,0,0.49,35.71926829,0.254,1678,29.378,16431.42621,19037.44343,3756,273,3756,3766,275,3766,13.55907692,0.001543169,0,5.6166668,5.553703844,29.08073171,23.938,8786.512352,7887.084581
3,20,130,165,0,35.34512195,0,0.395,35.74012195,0.262,1690,29.378,19037.44343,20826.41674,3766,275,3766,3740,274,3740,10.68290909,0.001410612,0,5.553703844,5.490740889,35.71926829,29.378,7573.242451,8786.512352
3,21,165,120,0,37.81707317,0,0.545,38.36207317,0.263,1690,31.555,20826.41674,18559.42036,3740,274,3740,3763,288,3763,15.7775,0.001700215,0,5.490740889,5.427777933,35.74012195,29.378,9279.71018,7573.242451
3,22,120,165,0,35.34512195,0,0.395,35.74012195,0.287,1690,29.378,18559.42036,19810.43736,3763,288,3763,3713,276,3713,10.68290909,0.001482956,0,5.427777933,5.364814978,38.36207317,31.555,7203.795404,9279.71018
3,23,165,170,0,32.64878049,0,0.43,33.07878049,0.252,1690,27.202,19810.43736,18366.13755,3713,276,3713,3653,277,3653,9.600705882,0.001481095,0,5.364814978,5.301852022,35.74012195,29.378,6482.166194,7203.795404
3,24,170,135,2,32.88536585,0,0.452,35.33736585,0.27,1691,29.378,18366.13755,19101.13493,3653,277,3653,3641,279,3641,13.05688889,0.001538024,0,5.301852022,5.238889067,33.07878049,27.202,8489.393302,6482.166194
3,25,135,115,3,31.62560976,0,0.505,35.13060976,0.271,1680,29.378,19101.13493,18479.14391,3641,279,3641,3623,279,3623,15.32765217,0.001589792,0,5.238889067,5.175926111,35.33736585,29.378,9641.292475,8489.393302
3,26,115,125,4,33.07926829,0,0.51,37.58926829,0.252,1690,31.555,18479.14391,19338.13465,3623,279,3623,3581,281,3581,15.1464,0.00163175,2,5.175926111,5.112963156,35.13060976,29.378,9282.304632,9641.292475
3,27,125,125,2,31.51829268,0,0.485,34.00329268,0.213,1690,28.29,19338.13465,18355.14609,3581,281,3581,3589,281,3589,13.5792,0.001541257,2,5.112963156,5.0500002,37.58926829,31.555,8810.470123,9282.304632
3,28,125,135,0,37.87804878,0,0.495,38.37304878,0.261,1692,31.555,18355.14609,19346.14962,3589,281,3589,3502,281,3502,14.02444444,0.001631074,2,5.0500002,4.987037244,34.00329268,28.29,8598.28872,8810.470123
3,29,135,120,0,37.8902439,0,0.485,38.3752439,0.215,1693,31.555,19346.14962,18860.13951,3502,281,3502,3510,280,3510,15.7775,0.001673105,2,4.987037244,4.924074289,38.37304878,31.555,9430.069755,8598.28872
3,30,120,120,0,35.21707317,0,0.5,35.71707317,0.26,1683,29.378,18860.13951,17701.12634,3510,280,3510,3487,283,3487,14.689,0.001659668,0,4.924074289,4.861111333,38.3752439,31.555,8850.56317,9430.069755
3,31,120,135,4,31.72926829,0,0.528,36.25726829,0.255,1683,30.466,17701.12634,19839.15454,3487,283,3487,3466,283,3466,13.54044444,0.00153565,0,4.861111333,4.798148378,35.71707317,29.378,8817.402018,8850.56317
3,32,135,115,1,31.40853659,0,0.465,32.87353659,0.207,1687,27.2,19839.15454,17675.92,3466,283,3466,3459,288,3459,14.19130435,0.001538817,1,4.798148378,4.735185422,36.25726829,30.466,9222.21913,8817.402018
3,33,115,115,2,30.1402439,0,0.525,32.6652439,0.265,1680,27.2,17675.92,17726.784,3459,288,3459,3528,298,3528,14.19130435,0.001534401,2,4.735185422,4.672222467,32.87353659,27.2,9248.75687,9222.21913
3,34,115,115,1,32.69878049,0,0.497,34.19578049,0.255,1679,28.29,17726.784,17034.8235,3528,298,3528,3488,299,3488,14.76,0.001660716,2,4.672222467,4.609259511,32.6652439,27.2,8887.734,9248.75687
3,35,115,180,2,25.57317073,0,0.46,28.03317073,0.201,1690,23.39,17034.8235,17092.9442,3488,299,3488,3604,295,3604,7.796666667,0.001368401,2,4.609259511,4.546296556,34.19578049,28.29,5697.648067,8887.734
3,36,180,140,0,35.50121951,0,0.269,35.77021951,0.231,1689,29.38,17092.9442,19671.0852,3604,295,3604,3408,314,3408,12.59142857,0.001493563,0,4.546296556,4.4833336,28.03317073,23.39,8430.465086,5697.648067
3,37,140,230,2,34.46341463,0,0.25,36.71341463,0.259,1715,30.47,19671.0852,10192.215,3408,314,3408,3408,313,3408,7.948695652,0.002989537,3,4.4833336,4.420370644,35.77021951,29.38,2658.838696,8430.465086
3,38,230,165,4,31.69146341,0,0.563,36.25446341,0.223,1695,30.47,10192.215,19917.3249,3408,313,3408,3415,314,3415,11.08,0.001529824,0,4.420370644,4.357407689,36.71341463,30.47,7242.6636,2658.838696
3,39,165,120,3,28.93292683,0,0.535,32.46792683,0.214,1675,27.2,19917.3249,17295.664,3415,314,3415,3223,302,3223,13.6,0.001572648,0,4.357407689,4.294444733,36.25446341,30.47,8647.832,7242.6636
3,40,120,130,0,36.47560976,0,0.56,37.03560976,0.251,1692,30.47,17295.664,19010.8424,3223,302,3223,3464,343,3464,14.06307692,0.00160277,6,4.294444733,4.231481778,32.46792683,27.2,8774.234954,8647.832
3,41,130,125,0,37.8597561,0,0.515,38.3747561,0.261,1671,31.56,19010.8424,18938.2092,3464,343,3464,3433,345,3433,15.1488,0.001666472,6,4.231481778,4.168518822,37.03560976,30.47,9090.340416,8774.234954
3,42,125,115,0,31.24390244,0,0.49,31.73390244,0.285,1670,26.11,18938.2092,16641.7307,3433,345,3433,3477,344,3477,13.6226087,0.001568947,6,4.168518822,4.105555867,38.3747561,31.56,8682.642104,9090.340416
3,43,115,140,0,35.32317073,0,0.415,35.73817073,0.184,1694,29.38,16641.7307,19591.7592,3477,344,3477,3327,359,3327,12.59142857,0.00149961,7,4.105555867,4.042592911,31.73390244,26.11,8396.468229,8682.642104
3,44,140,115,0,33.82317073,0,0.555,34.37817073,0.257,1690,28.29,19591.7592,17390.4288,3327,359,3327,3531,351,3531,14.76,0.001626757,7,4.042592911,3.979629956,35.73817073,29.38,9073.2672,8396.468229
3,45,115,115,0,32.45121951,0,0.59,33.04121951,0.264,1687,27.2,17390.4288,17011.152,3531,351,3531,3533,352,3533,14.19130435,0.001598951,7,3.979629956,3.916667,34.37817073,28.29,8875.383652,9073.2672
4,1,0,155,0,35.68170732,0,0.119,35.80070732,0.229,1690,29.378,0,17832.446,0,0,0,3768,261,3768,11.37212903,0.001647446,0,6.75,6.694444451,0,0,6902.882323,8875.383652
4,2,155,95,3,29.43902439,0,0.122,32.56102439,0.196,1710,27.202,17832.446,16511.614,3768,261,3768,3765,259,3765,17.18021053,0.001647446,0,6.694444451,6.638888902,35.80070732,29.378,10428.38779,6902.882323
4,3,95,110,5,28.06707317,0,0.375,33.44207317,0.215,1690,28.29,16511.614,16463.0826,3765,259,3765,3762,259,3762,15.43090909,0.00171839,0,6.638888902,6.583333353,32.56102439,27.202,8979.863236,10428.38779
4,4,110,110,2,30.4902439,0,0.24,32.7302439,0.24,1680,27.202,16463.0826,16086.17472,3762,259,3762,3765,261,3765,14.83745455,0.001691017,0,6.583333353,6.527777804,33.44207317,28.29,8774.27712,8979.863236
4,5,110,155,2,30.43170732,0,0.288,32.71970732,0.222,1690,27.202,16086.17472,16838.31002,3765,261,3765,3761,260,3761,10.52980645,0.001615483,0,6.527777804,6.472222255,32.7302439,27.202,6518.055492,8774.27712
4,6,155,95,0,27.51097561,0,0.291,27.80197561,0.201,1682,22.85,16838.31002,13966.1485,3761,260,3761,3770,260,3770,14.43157895,0.001636099,0,6.472222255,6.416666706,32.71970732,27.202,8820.725368,6518.055492
4,7,95,110,0,31.47439024,0,0.305,31.77939024,0.2,1695,26.114,13966.1485,16408.20962,3770,260,3770,3765,263,3765,14.244,0.00159152,0,6.416666706,6.361111157,27.80197561,22.85,8949.93252,8820.725368
4,8,110,120,0,32.13780488,0,0.305,32.44280488,0.206,1687,26.658,16408.20962,17240.26176,3765,263,3765,3766,263,3766,13.329,0.001546264,0,6.361111157,6.305555608,31.77939024,26.114,8620.13088,8949.93252
4,9,120,130,0,38.09146341,0,0.32,38.41146341,0.266,1689,31.555,17240.26176,18286.1225,3766,263,3766,3766,263,3766,14.56384615,0.001725626,0,6.305555608,6.250000059,32.44280488,26.658,8439.748846,8620.13088
4,10,130,115,0,35.46097561,0,0.3,35.76097561,0.211,1680,29.378,18286.1225,16806.12557,3766,263,3766,3766,262,3766,15.32765217,0.001748053,0,6.250000059,6.19444451,38.41146341,31.555,8768.413341,8439.748846
4,11,115,110,1,32.96341463,0,0.28,34.24341463,0.264,1686,28.29,16806.12557,16628.12646,3766,262,3766,3765,263,3765,15.43090909,0.001701334,0,6.19444451,6.138888961,35.76097561,29.378,9069.88716,8768.413341
4,12,110,115,0,35.35121951,0,0.39,35.74121951,0.203,1686,29.378,16628.12646,17211.13068,3765,263,3765,3765,264,3765,15.32765217,0.001706919,0,6.138888961,6.083333412,34.24341463,28.29,8979.720355,9069.88716
4,13,115,115,0,34.06707317,0,0.355,34.42207317,0.256,1675,28.29,17211.13068,17162.1285,3765,264,3765,3767,264,3767,14.76,0.001648397,0,6.083333412,6.027777863,35.74121951,29.378,8954.154,8979.720355
4,14,115,120,0,34.11707317,0,0.314,34.43107317,0.208,1690,28.29,17162.1285,17108.12289,3767,264,3767,3764,265,3764,14.145,0.0016536,0,6.027777863,5.972222314,34.42207317,28.29,8554.061445,8954.154
4,15,120,120,0,34.77317073,0,0.32,35.09317073,0.201,1685,28.834,17108.12289,17612.12437,3764,265,3764,3765,266,3765,14.417,0.001637168,0,5.972222314,5.916666765,34.43107317,28.29,8806.062185,8554.061445
4,16,120,140,0,36.76341463,0,0.32,37.08341463,0.221,1685,30.466,17612.12437,18751.12228,3765,266,3765,3765,266,3765,13.05685714,0.001624756,0,5.916666765,5.861111216,35.09317073,28.834,8036.195263,8806.062185
4,17,140,125,0,34.11829268,0,0.313,34.43129268,0.197,1700,28.29,18751.12228,17410.11864,3765,266,3765,3764,266,3764,13.5792,0.001624917,0,5.861111216,5.805555667,37.08341463,30.466,8356.856947,8036.195263
4,18,125,120,0,35.4695122,0,0.293,35.7625122,0.201,1690,29.378,17410.11864,17652.12384,3764,266,3764,3649,269,3649,14.689,0.001664276,0,5.805555667,5.750000118,34.43129268,28.29,8826.06192,8356.856947
4,19,120,110,0,36.7804878,0,0.306,37.0864878,0.198,1689,30.466,17652.12384,17236.1395,3649,269,3649,3765,269,3765,16.61781818,0.001767565,0,5.750000118,5.694444569,35.7625122,29.378,9401.530636,8826.06192
4,20,110,120,0,35.4195122,0,0.334,35.7535122,0.183,1690,29.378,17236.1395,18719.1328,3765,269,3765,3765,270,3765,14.689,0.00156941,0,5.694444569,5.63888902,37.0864878,30.466,9359.5664,9401.530636
4,21,120,125,0,35.45121951,0,0.308,35.75921951,0.253,1696,29.378,18719.1328,18297.29409,3765,270,3765,3765,271,3765,14.10144,0.001605593,0,5.63888902,5.583333471,35.7535122,29.378,8782.701163,9359.5664
4,22,125,110,0,34.13414634,0,0.3,34.43414634,0.212,1686,28.29,18297.29409,16672.28715,3765,271,3765,3765,272,3765,15.43090909,0.001696828,0,5.583333471,5.527777922,35.75921951,29.378,9093.974809,8782.701163
